region,population ,area,capital,latitude,longitude
Addis Ababa (city),"3,273,000",527,Addis Ababa,9.03,38.74
Afar Region,"1,723,000","72,053",Semera,11.792222,41.008611
Amhara Region,"27,401,000","154,709",Bahir Dar,11.6,37.383333
Benishangul-Gumuz Region,"1,005,000","50,699",Asosa,10.066667,34.516667
Dire Dawa (city),"440,000","1,559",Dire Dawa,9.6,41.866667
Gambela Region,"409,000","29,783",Gambela,8.25,34.583333
Harari Region,"232,000",334,Harar,9.311111,42.127778
Oromia Region,"33,692,000","284,538",Finfinne,9.03,38.74
Sidama Region,"3,200,000","12,000",Hawassa,7.05,38.466667
Somali Region,"5,453,000","279,252",Jijiga,9.35,42.8
"Southern Nations, Nationalities, and Peoples' Region","11,426,000","93,800",Hawassa,7.05,38.466667
Tigray Region,"5,056,000","50,079",Mek'ele,13.496944,39.476944
